順番   文法                        意味
001.   ～のではないか              ～と思う，...吧                                    こんなに塩辛い食品は体によくないのではないか。
002.   ～となると                  如果...情况，就                                    引っ越すとなると、かなりの金がかかる。大丈夫かなあ。
003.   ～あっての～                有...才...                                         海あっての漁業なのだから、海を汚してはいけない。
004.   ～(よ)うが                  不管...都不影响                                    社長は何を言われようが、自分のやり方を押し通した。
005.   ～(よ)うと(も)              不管...都不影响                                    たとえ大地震がおころうと、このビルは安全なはずだ。
006.   ～に～ない                  想做...却不能，心理原因                            子供に大切な書類を汚れて、泣くに泣けない心境だ。
007.   ～(よ)うにも～ない          想做...却不能，时间、金钱原因                      連絡先がわからなくて、連絡しようにも連絡できなかった。
008.   ～かぎりだ                  ...之至                                            この近所で強盗事件があったらしい。恐ろしい限りだ。
009.   ～かたがた                  顺便，动作时间带一样(正式)(书面)                   見学かたがた祖父が入所している老人ホームを訪ねた。
010.   ～かたわら                  一边...一边.../从事...之余又...，动作时间带不一样  彼は教師の仕事をするかたわら、小説を書いている。
011.   ～がてら                    顺便，时间带不一样(口语)                           散歩がてらちょっとパンを買いに行ってきます。
012.   ～からある                  强调多，重量、距离、大小、数量                     2トンからあるこの岩を、昔の人はどうやって運んだんだろう。
013.   ～からする                  强调多，价格                                       彼女は10万円からする服を、値段も見ないで何着も買った。
014.   ～からの                    强调多，重量、距离、大小、数量、人数               そのデモには10万人からの人々が参加したそうだ。
015.   ～かれ～かれ                不管是好是坏(相反形容词)，都一样                   多かれ少なかれ、みんな悩みを抱えている。
016.   ～かろうが                  就算...                                            どんなに難しかろうが頑張る。
017.   ～きわまる                  ...至极(书面语)                                    このような不当な判決が出たことは、残念極まる。
018.   ～しまつだ                  (不好的)地步、下场                                 甥は遊んでばかりいてまじめに働きもせず、とうとう会社を辞めてしまう始末だ。
019.   ～ずにはおかない            (1)强烈决心(第一人称)(2)必然会(无生命或非第一人称) 警察署長の話から、必ず犯人を捕らえずにはおかないという意気込みを感じた。
020.   ～ずにはすまない            考虑到当时情况及社会常识等因素，必然要...          このままの経営状態が続けば、借金をせずにはすまない。
021.   ～すら                      甚至...，连...(书面语)                             これは専門家ですら直すのが難しい故障だ。素人の私には全く手が付けられない。
022.   ～そばから                  刚...就(反复)(不好的事)                            月末になると、払ったそばからまた別の請求書が来る。
023.   ～たらさいご                如果...就(严重后果)                                兄は大酒飲みだから、飲み始めたら最後、酔いつぶれるまで飲んでしまう。
024.   ～たがさいご                如果...就(严重后果)                                うちの娘は、パソコンの前に座ったが最後、声をかけても返事もしない。
025.   ～ば～で                    虽然...但也没想象中的那么好或坏                    家は広い方がいいが、広ければ広いで、掃除が大変だろう。
026.   ～たりとも～ない            连...都没有...                                     あなたのことは一日たりとも忘れたことはありません。
027.   ～たるもの(は)              身为...理应...                                     紳士たるもの、強く優しくなければならない。
028.   ～つ～つ                    时而...时而...                                     あの人はさっきから店の前を行きつ戻りつしている。
029.   ～であれ                    即使...也没关系，不受影响                          たとえ嵐の夜であれ、わたしは仕事のためなら外出する。
030.   ～であろうと                即使...也没关系，不受影响                          君に会うためなら、たとえ火の中、水の中であろうと、僕は平気だ。
031.   ～てからというもの(は)      自从...后，就一直持续同样的状态                    娘が大学に入り家を出て行ってからというもの、家の中が寂しくなった。
032.   ～でなくてなんだろう(か)    简直就是...，表达感动、感慨、称赞                  このような所に道路を作るのは、税金の無駄遣いでなくてなんだろうか。
033.   ～てはばからない            毫无顾忌                                           彼は自分は天才だと言ってはばからない。
034.   ～てやまない                衷心...                                            卒業生の皆さんの幸せを願ってやみません。
035.   ～とあいまって              互相结合，互相作用                                 あの白い建物は美しい緑とあいまって、絵本に出てくるお城のように見える
036.   ～とあって                  因为是特殊情况，所以结果也不同寻常                 その女優は初めて映画の主役を務めるとあって、とても緊張している様子だ。
037.   ～とあれば                  如果是特殊条件，就会做某事或是某种状态             子供のためとあれば、私はどんなことでも我慢しますよ。
038.   ～といい...といい           无论是～还是...，都是一样的状态                    中島さんといい松本さんといい、うちの課の人はみんな話が面白い。
039.   ～といったらない            极其...(口语)                                      あのレストランの料理はおいしいことといったらなかった。今でも忘れられない。
040.   ～(か)とおもいきや          原以为...                                          満点を取れたと思いきや、名前を書くのを忘れて0点にされてしまった。
041.   ～ときたら                  提到身边的人或话题，表达对其的不满                 あの店の料理ときたら、高いだけで全然おいしくない。
042.   ～とて                      即使(文章体)                                       母親とて、彼の本当の気持ちは理解できないだろう。
043.   ～とはいえ                  虽然...但情况还是一样                              十二月に入ったとはいえ、まだ年末という気がしない。
044.   ～ともあろう～が            身为...却                                          国会議員ともあろう人が、差別的な発言をするなんて信じられない。
045.   ～ともなく                  不知不觉地，无意中                                 テレビを見るともなく見ていたら、友達がテレビに出ていてびっくりした。
046.   ～ともなると                一旦到了...                                        子供も小さいときは素直だが、中学生ともなると、親の言うことを聞かなくなる。
047.   ～ながらに                  保持原有的状态不变                                 この辺りは昔ながらの田舎の雰囲気が残っている。
048.   ～ならいざしらず            如果是...的话，就是另一种情况了                    治療が難しいのならいざしらず、よくある病気だから、そんなに心配することはない。
049.   ～ならでは                  只有...才，除...以外                               この布製の袋にはぬくもりが感じられる。この体験はハワイならではですよ。
050.   ～なりに                    与...相应的；在...立场上                           彼は経験が浅いなりに一生懸命仕事をしている。
051.   ～にあって                  正因为...才.../即使...也...                        最近の不況にあっても、この会社の製品は売れ行きが落ちていない。
052.   Vた+ところで                即使...也不起作用、或更加不好                      厳しい批判をしてしまったが、私にしたところでいい案を持っているわけではない。
053.   ～にもまして                比...程度更甚                                      結婚式の日の彼女は、いつにもまして美しかった。
054.   ～はおろか                  ...自不必说，其他的也一样                          手間がかかる料理はおろか、日常の簡単な料理を作るのさえ面倒だ。
055.   ～ばこそ                    正是因为...                                        愛していればこそ、別れるのです。私の気持ち、わかってください。
056.   ～ばそれまでだ              如果...就完了                                      人間、死んでしまえばそれまでだ。生きているうちにやりたいことをやろう。
057.   ～べからず                  不准，禁止(告示)                                  「危険。立ち入るべからず。」
058.   ～べく                      为了...(文章体)                                    彼はサッカー選手になるべく、毎日厳しい練習をしている。
059.   ～べくして～                ...理所当然                                        我々は勝つべくして勝った。
060.   ～べくもない                ...当然不可能                                      将棋歴30年のベテランに、初心者の私がかなうべくもない。
061.   ～まじき                    从立场或道德考虑，不应该...                        大切な人に私はいうまじきことを言ってしまった。
062.   Vる+までだ                  大不了...                                          誰も協力してくれないのなら、一人でやってみるまでだ。
063.   Vた+までだ                  仅仅是...而已                                      一番活躍したのは何といっても中村さんです。私はお手伝いをしたまでです。
064.   ～までもない                没有到...的程度                                    このぐらいの雨なら、傘をさすまでもない。
065.   ～もさることながら          ...也是那样，但是还有更想补充强调后者              彼は人柄もさることながら、その頭の働きの良さで人を引っ張っていく。
066.   ～ものと思う                说明说话人确信的判断                               バスは頻繁にあるものと思うが、確認してみよう。
067.   ～ものと思われる            可能...                                            連休はかなりの渋滞になるものと思われる。
068.   ～ものを                    本应该...却                                        止せばいいものを、彼は社長に大声で文句を言った。
069.   ～やいなや                  (1)刚...就(2)是否                                  私はその人の顔を一目見るやいなや、30年前に別れた恋人だと気がついた。
070.   ～ゆえ(に)                  因为...(文章体)                                    慣れないことゆえ、数々の不手際、どうぞお許しください。
071.   ～ようでは                  要是...那样不好的状态，可能会导致不良结果          報告書にこんなにミスが多いようでは、安心して仕事を任せられない。
072.   ～をいいことに              乘机                                               先生がいないのをいいことにサボっている。
073.   ～をかぎりに                以...为限                                          今日をかぎりに、タバコを止めるぞ。
074.   ～をかわきりとして          以...为开端                                        この作家はこの小説を皮切りとして、次々に話題作を発表している。
075.   ～をものともせずに          不顾，不怕                                         彼は体の障害をものともせずに、精力的に活動している。
076.   ～をよぎなくされる          不得不...                                          中川選手はまだ若いが、度重なるけがにより引退をよぎなくされた。
077.   ～をよぎなくさせる          被迫...                                            諸外国の圧力が貿易自由化をよぎなくさせた。
078.   ～をよそに                  不顾，不在乎                                       住民たちの抗議行動をよそに、ダムの建設計画が進められている。
079.   ～んばかりだ                好像要...的样子                                    彼は力強くうなずいた。任せろと言わんばかりだった。
080.   ～いかんで(は)              根据...来...                                       結果いかんで、方針の是非が分かる。
081.   ～ごとき～                  ...样的...(～のような)                             彼が言うごとき結果になる。
082.   ～ごとく                    如同...(～のように)                                大波に船は木の葉のごとく揺れた。
083.   N1がN1なら、N2もN2だ        N1不好，N2也不好                                   子供が子供なら、親も親だ。
084.   ～ままに                    按照他人的意愿...                                  契約の時、いわれるままにハンコを押している人が多い。
085.   ～とはくらべものにならない  和...无法相比                                      今の車の性能は、昔とは比べものにならない。
086.   ～こそあれ                  虽然，尽管                                         苦労こそあれ、介護の仕事はやりがいがある。
087.   ～こそすれ                  只有，只会                                         あなたには感謝こそすれ、恨んでなどいません。
088.   ～こととて                  因为，由于                                         慣れぬこととて、失礼いたしました。
089.   ～ことなしに(は)            如果不...就不能                                    今の状況を知ることなしに、未来を予測することはできない。
090.   Vた+ことにする              与事实相反对待                                     この話は聞かなかったことにしてください。
091.   ～じゃあるまいし            又不是...                                          子供ではあるまいし、泣くのはやめなさい。
092.   ～ずにすんだ                用不着，不必                                       図書館で借りたので、本を買わずに済んだ。
093.   ～そうもない                没有要...的样子，不可能...                         雨が止みそうもない。
094.   ～てこそ                    只有...才                                          生活費を自分で稼いでこそ、自立していると言える。
